epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,83.6422,1.65266,1.45471,1.14658,0.2329,0.12651,0.10239,0.03182,2.5924,3.1921,1.92333,0.004159,0.004159,0.004159
61,85.0136,1.85101,1.75384,1.23759,0.2204,0.09639,0.11124,0.0297,2.58497,3.23676,1.87493,0.00406,0.00406,0.00406
62,86.3763,1.60201,1.52971,1.06903,0.29311,0.16867,0.14542,0.04565,2.50891,2.86238,1.87892,0.003961,0.003961,0.003961
63,87.745,1.65317,1.48981,1.1252,0.33915,0.17932,0.16192,0.04583,2.52964,2.82266,1.93521,0.003862,0.003862,0.003862
64,89.1159,1.68526,1.49303,1.17518,0.2885,0.23494,0.17082,0.05207,2.57432,2.7622,2.10775,0.003763,0.003763,0.003763
65,90.4913,1.87945,1.60143,1.25358,0.40528,0.24096,0.2199,0.05742,2.64074,2.68844,2.0204,0.003664,0.003664,0.003664
66,91.8654,1.71477,1.53601,1.21554,0.4663,0.22892,0.23531,0.06743,2.56939,2.76327,1.91712,0.003565,0.003565,0.003565
67,93.2361,1.72267,1.3594,1.1255,0.46432,0.23494,0.23897,0.0744,2.54057,2.72816,1.8583,0.003466,0.003466,0.003466
68,94.6102,1.58916,1.44668,1.15388,0.49671,0.1747,0.20853,0.06979,2.53016,2.95633,1.82029,0.003367,0.003367,0.003367
69,95.9936,1.67763,1.50496,1.14747,0.36696,0.16414,0.17768,0.06164,2.44679,2.98982,1.74532,0.003268,0.003268,0.003268
70,97.3646,1.45706,1.26811,1.04378,0.41822,0.20482,0.19216,0.06639,2.41441,3.03069,1.77021,0.003169,0.003169,0.003169
71,98.7456,1.61067,1.38256,1.13958,0.36157,0.1506,0.14487,0.05038,2.47664,3.12793,1.81487,0.00307,0.00307,0.00307
72,100.124,1.60413,1.2444,1.07487,0.37137,0.16017,0.17097,0.0564,2.41856,3.06661,1.74947,0.002971,0.002971,0.002971
73,101.497,1.45103,1.19147,1.07971,0.37479,0.1506,0.18547,0.05935,2.50074,3.03311,1.84465,0.002872,0.002872,0.002872
74,102.875,1.60675,1.28006,1.09297,0.46013,0.22289,0.23526,0.07279,2.45358,2.87932,1.79528,0.002773,0.002773,0.002773
75,104.243,1.46229,1.2226,1.06051,0.48141,0.22929,0.22767,0.06773,2.45136,2.96801,1.81135,0.002674,0.002674,0.002674
76,105.61,1.50573,1.18247,1.03314,0.45953,0.22892,0.26361,0.08365,2.50441,2.81107,1.87191,0.002575,0.002575,0.002575
77,106.996,1.54376,1.23035,1.0506,0.45954,0.24096,0.24974,0.07286,2.53456,2.75744,1.86218,0.002476,0.002476,0.002476
78,108.374,1.38525,1.25011,1.05817,0.49225,0.27108,0.26654,0.07821,2.53935,2.62448,1.92361,0.002377,0.002377,0.002377
79,109.737,1.61183,1.20033,1.03449,0.43492,0.3012,0.29044,0.08352,2.5705,2.48169,1.93216,0.002278,0.002278,0.002278
